obs
26C4
03C4
27B1
03C3
40D3
03A4
03A2
03C3
16A3
03C3
27A2
40D3
30B2
16A1
48B2
16A1
16A1
40D3
27A3
16A1
16A3
02B1
03D3
40C4
40C4
03A1
03A4
03A4
25D4
03A1
03A1
03A4
02B4
01C4
16A1
03A2
03D1
03B3
15D3
16C4
16A1
16C4
16C4
47B1
47B1
25D3
27A1
27A1
26C1
27A2
27A2
03A4
03C4
37A2
28D2
16C3
02A4
02B1
02A4
02A1
47B1
39A1
04D3
15D1
15C2
15C2
03D1
15C2
15D4
15D4
16C3
15C4
16C3
16C3
15C1
15C1
15C1
15C2
16C3
16C3
15C4
15A2
15D3
15C2
15D4
15D4
27A1
15A3
15A3
15A3
15A2
15A3
15A3
16D3
15A3
19D3
03A3
15C1
15C2
15C2
15C4
16D3
16D3
16D3
16D3
16D3
16D3
03C1
15C1
15C1
15C2
15C2
16C3
16C3
15C2
15C2
15C1
15C1
15C1
15C1
15C1
15A3
15A3
15D3
15D3
15D3
15C2
16D3
15C2
15C2
15C2
15C2
15C2
15C2
15D3
15D3
15D3
15D3
15D3
15C2
15C2
15C2
15C2
15A3
15A3
16D3
15A3
15D1
15D1
15D1
15C1
15C1
15C1
15C1
15A3
15A3
15A3
15A3
15A3
15A3
03C2
15C1
15C2
27B1
27A2
27A2
27A2
15C1
15C1
15A4
15A2
15A2
16C3
15C2
16D3
16D3
15C2
15C2
15C2
15C2
15C2
15C2
15D3
15D4
15D3
15A1
15A3
15A1
15A3
15C2
15C4
27A1
27A2
27A2
27A2
27A2
15C2
15C2
15C2
16C3
16C3
16C3
15C1
15C1
15A3
15A3
15A3
15A3
15A3
15C2
16C4
27A2
27A1
27A2
27A4
27A1
27A2
27A2
27A1
38D2
15D2
36C2
26C3
16C4
15B2
02A2
40C3
26D3
25D1
16A1
39C4
37A1
15C3
03A3
02A2
03A4
26D2
03A2
40A3
27B1
36C2
15A3
15C1
15A3
15A3
15C2
15A3
15A2
15A2
15C2
36C2
15D1
16C4
15C1
15C1
15C1
15C1
15A2
15A1
15C2
15C2
15A2
15C2
15C2
15C2
15C2
15A3
15C4
36A2
26D3
15C2
15C1
15C1
15A3
15A3
15A3
15C1
15C1
15A1
15A1
27A2
15C2
15C2
15D4
27A2
27A2
27A2
27A1
27A1
16C3
16C3
16C3
16C3
16C4
15C4
15C4
15C1
15C1
15C1
15C1
15C1
15A3
15A3
15A3
15A3
15C1
15C2
15C2
15A3
15A3
15A3
15A3
15A3
15C2
15A3
16C4
16C4
15D4
15D4
15D4
15D4
27B1
15A2
15A3
15A3
15A3
15A3
15A1
15A1
15C2
15C2
15D1
15C2
15C2
15C2
15C2
27B1
27B1
15A3
15C2
15C2
15C2
15A3
15A3
15A3
15C2
15C2
15C1
15C1
15A3
15A3
40C4
27A4
27A1
27A1
27A1
27A2
27A2
27A2
27A1
27A2
38A2
25D4
26C2
16A4
26D2
27A2
27A4
27A2
27A1
27A1
27A1
